R,612,1207,1209,2,4,KE,BA,,,20,,20:07,20:09,00:02
Os,3333,1211,1216,2,3,BA,KE,,612,20,,20:11,20:16,00:05
Os,3356,1303,1304,2,4,KE,PR,,,20,PU ZAVODY,21:43,21:44,00:01
R,709,1311,1313,2,3,BA,KE,,,20,,21:51,21:53,00:02
R,762,1333,1335,2,4,KE,BA,,,20,,22:13,22:15,00:02
Os,3359,1356,1360,2,3,PR,PU,,,20,PU ZAVODY,22:36,22:37,00:01
Os,3358,1420,1439,2,7,KE,PU,,,20,meni sa na 3351 a nocuje,23:40,23:59,00:19
IC,411,64.75,65,0.25,1,BA,KE,,,20,,01:04,01:05,00:01
IC,410,173.75,174,0.25,2,KE,BA,,,20,,02:53,02:54,00:01
IC,401,424.75,425,0.25,1,BA,KE,,,20,,07:04,07:05,00:01
IC,400,533.75,534,0.25,2,KE,BA,,,20,,08:53,08:54,00:01
IC,403,544.75,545,0.25,1,BA,KE,,,20,,09:04,09:05,00:01
IC,500,638.75,639,0.25,2,KE,BA,,,20,,10:38,10:39,00:01
IC,501,689.75,690,0.25,1,BA,KE,,,20,,11:29,11:30,00:01
IC,502,758.75,759,0.25,2,KE,BA,,,20,,12:38,12:39,00:01
IC,402,773.75,774,0.25,2,KE,BA,,,20,,12:53,12:54,00:01
IC,405,784.75,785,0.25,1,BA,KE,,,20,,13:04,13:05,00:01
IC,404,893.75,894,0.25,2,KE,BA,,,20,,14:53,14:54,00:01
IC,1501,929.75,930,0.25,1,BA,KE,,,20,,15:29,15:30,00:01
IC,1500,989.75,990,0.25,2,KE,BA,,,20,,16:29,16:30,00:01
IC,406,1013.75,1014,0.25,2,KE,BA,,,20,,16:53,16:54,00:01
IC,407,1024.75,1025,0.25,1,BA,KE,,,20,,17:04,17:05,00:01
IC,503,1049.75,1050,0.25,1,BA,KE,,,20,,17:29,17:30,00:01
IC,504,1128.75,1129,0.25,2,KE,BA,,,20,,18:48,18:49,00:01
IC,409,1144.75,1145,0.25,1,BA,KE,,,20,,19:04,19:05,00:01
IC,1503,1169.75,1170,0.25,1,BA,KE,,,20,,19:29,19:30,00:01
IC,1600,1175.75,1176,0.25,2,KE,BA,,,20,,19:35,19:36,00:01
IC,1502,1248.75,1249,0.25,2,KE,BA,,,20,,20:48,20:49,00:01
IC,408,1253.75,1254,0.25,2,KE,BA,,,20,,20:53,20:54,00:01
